CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-01-01 00:00,m^3/s,2952,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-02-01 00:00,m^3/s,2970,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-03-01 00:00,m^3/s,3356,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-04-01 00:00,m^3/s,3610,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-05-01 00:00,m^3/s,5392,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-06-01 00:00,m^3/s,5526,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-07-01 00:00,m^3/s,4109,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-08-01 00:00,m^3/s,3930,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-09-01 00:00,m^3/s,4266,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-10-01 00:00,m^3/s,4994,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-11-01 00:00,m^3/s,5148,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2013-12-01 00:00,m^3/s,5318,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2014-01-01 00:00,m^3/s,4098,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2014-02-01 00:00,m^3/s,2844,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2014-03-01 00:00,m^3/s,3810,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2014-04-01 00:00,m^3/s,3860,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2014-05-01 00:00,m^3/s,5123,Preliminar
25027020,EL BANCO - AUT [25027020],CAUDAL,Caudal máximo mensual,2014-06-01 00:00,m^3/s,4882,Preliminar
