CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-01-01 00:00,m^3/s,2.656,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-02-01 00:00,m^3/s,2.766,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-03-01 00:00,m^3/s,10.42,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-04-01 00:00,m^3/s,9.882,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-05-01 00:00,m^3/s,14.57,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-06-01 00:00,m^3/s,27.16,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-07-01 00:00,m^3/s,16.79,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-08-01 00:00,m^3/s,14.5,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-09-01 00:00,m^3/s,19.28,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-10-01 00:00,m^3/s,24.36,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-11-01 00:00,m^3/s,19.95,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2013-12-01 00:00,m^3/s,6.746,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2014-01-01 00:00,m^3/s,6.61,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2014-02-01 00:00,m^3/s,5.794,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2014-03-01 00:00,m^3/s,4.521,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2014-04-01 00:00,m^3/s,14.13,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2014-05-01 00:00,m^3/s,22.05,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2014-06-01 00:00,m^3/s,22.47,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2014-07-01 00:00,m^3/s,17.92,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2014-08-01 00:00,m^3/s,25.72,Preliminar
29067150,GANADERIA CARIBE  - AUT [29067150],CAUDAL,Caudal medio mensual,2014-09-01 00:00,m^3/s,21.89,Preliminar
