date,estacion,parametro,caudal_m3s,caudal_z
2013-01-15,El_Banco_Magdalena,Caudal medio mensual,2103.0,-0.8801978446724523
2013-02-15,El_Banco_Magdalena,Caudal medio mensual,2471.0,0.18934255394251126
2013-03-15,El_Banco_Magdalena,Caudal medio mensual,2912.0,0.14214029467649264
2013-04-15,El_Banco_Magdalena,Caudal medio mensual,3097.0,-0.4307223961396112
2013-05-15,El_Banco_Magdalena,Caudal medio mensual,4558.0,-0.04180031130421145
2013-06-15,El_Banco_Magdalena,Caudal medio mensual,4736.0,0.015539203769858517
2013-07-15,El_Banco_Magdalena,Caudal medio mensual,3506.0,-0.33854639223811894
2013-08-15,El_Banco_Magdalena,Caudal medio mensual,3324.0,0.11949605076636288
2013-09-15,El_Banco_Magdalena,Caudal medio mensual,3941.0,0.537683331515473
2013-10-15,El_Banco_Magdalena,Caudal medio mensual,4479.0,0.33764010934213995
2013-11-15,El_Banco_Magdalena,Caudal medio mensual,4828.0,-0.28727586189167587
2013-12-15,El_Banco_Magdalena,Caudal medio mensual,4902.0,0.46991833446090414
2014-01-15,El_Banco_Magdalena,Caudal medio mensual,3270.0,0.39961060516855434
2014-02-15,El_Banco_Magdalena,Caudal medio mensual,2530.0,0.29656178792008536
2014-03-15,El_Banco_Magdalena,Caudal medio mensual,3489.0,0.8399455795342383
2014-04-15,El_Banco_Magdalena,Caudal medio mensual,2919.0,-0.6015354060194362
2014-05-15,El_Banco_Magdalena,Caudal medio mensual,4653.0,0.04473905845197611
2014-06-15,El_Banco_Magdalena,Caudal medio mensual,4061.0,-0.6335862949180054
2014-07-15,El_Banco_Magdalena,Caudal medio mensual,2914.0,-0.9295258078882768
2014-08-15,El_Banco_Magdalena,Caudal medio mensual,2319.0,-0.8923730423779005
2014-09-15,El_Banco_Magdalena,Caudal medio mensual,2776.0,-0.5788779313396131
2014-10-15,El_Banco_Magdalena,Caudal medio mensual,4149.0,0.005364204891904537
2014-11-15,El_Banco_Magdalena,Caudal medio mensual,5288.0,0.2133605631463881
2014-12-15,El_Banco_Magdalena,Caudal medio mensual,4565.0,0.1586978508815713
2015-01-15,El_Banco_Magdalena,Caudal medio mensual,2579.0,-0.3581851436233356
2015-02-15,El_Banco_Magdalena,Caudal medio mensual,2878.0,0.9289735408725561
2015-03-15,El_Banco_Magdalena,Caudal medio mensual,2537.0,-0.3113726720854738
2015-04-15,El_Banco_Magdalena,Caudal medio mensual,3709.0,0.15656727827866374
2015-05-15,El_Banco_Magdalena,Caudal medio mensual,3658.0,-0.8616469721523041
2015-06-15,El_Banco_Magdalena,Caudal medio mensual,3677.0,-1.0028665786159903
2015-07-15,El_Banco_Magdalena,Caudal medio mensual,2733.0,-1.1102137711191529
2015-08-15,El_Banco_Magdalena,Caudal medio mensual,2304.0,-0.9074755661561731
2015-09-15,El_Banco_Magdalena,Caudal medio mensual,2403.0,-0.9363692197902114
2015-10-15,El_Banco_Magdalena,Caudal medio mensual,2492.0,-1.6630635941203382
2015-11-15,El_Banco_Magdalena,Caudal medio mensual,3340.0,-1.9067258628843697
2015-12-15,El_Banco_Magdalena,Caudal medio mensual,2471.0,-1.7751172607360042
2016-01-15,El_Banco_Magdalena,Caudal medio mensual,1344.23535119049,-1.7123087349784119
2016-02-15,El_Banco_Magdalena,Caudal medio mensual,1245.65207758617,-2.037451778213806
2016-03-15,El_Banco_Magdalena,Caudal medio mensual,1680.74713763439,-1.3468974078450833
2016-04-15,El_Banco_Magdalena,Caudal medio mensual,2480.66887499999,-1.0221683205433776
2016-05-15,El_Banco_Magdalena,Caudal medio mensual,3735.79998387097,-0.7907757977182481
2016-06-15,El_Banco_Magdalena,Caudal medio mensual,3348.43583527779,-1.3188360264326808
2016-07-15,El_Banco_Magdalena,Caudal medio mensual,2831.0233827957,-1.0123593767193986
2016-08-15,El_Banco_Magdalena,Caudal medio mensual,2717.80894462366,-0.49083827110012584
2016-09-15,El_Banco_Magdalena,Caudal medio mensual,3256.5759648611,-0.11828350539702812
2016-10-15,El_Banco_Magdalena,Caudal medio mensual,4201.72688776876,0.05845473314102834
2016-11-15,El_Banco_Magdalena,Caudal medio mensual,5523.47274583328,0.4696349841634967
2016-12-15,El_Banco_Magdalena,Caudal medio mensual,5765.34884645168,1.267223513957495
2017-01-15,El_Banco_Magdalena,Caudal medio mensual,4210.56409723122,1.431094649087658
2017-02-15,El_Banco_Magdalena,Caudal medio mensual,2901.98184778913,0.9725551569626797
2017-03-15,El_Banco_Magdalena,Caudal medio mensual,3243.64809623651,0.5432248601303
2017-04-15,El_Banco_Magdalena,Caudal medio mensual,4595.26287527776,1.0070460944075526
2017-05-15,El_Banco_Magdalena,Caudal medio mensual,6018.38260631718,1.2885216924177605
2017-06-15,El_Banco_Magdalena,Caudal medio mensual,6063.72563035355,1.2923696658793495
2017-07-15,El_Banco_Magdalena,Caudal medio mensual,4760.25112358263,0.9135424525142736
2017-08-15,El_Banco_Magdalena,Caudal medio mensual,3759.32738010752,0.5577988580601584
2017-09-15,El_Banco_Magdalena,Caudal medio mensual,4190.15183194444,0.7764758500721619
2017-10-15,El_Banco_Magdalena,Caudal medio mensual,4605.75203861366,0.46526631622476156
2017-11-15,El_Banco_Magdalena,Caudal medio mensual,5086.34325930552,-0.006110544997333941
2017-12-15,El_Banco_Magdalena,Caudal medio mensual,5049.97257500004,0.6065714393510866
2018-01-15,El_Banco_Magdalena,Caudal medio mensual,4017.07608588714,1.2189030536625622
2018-02-15,El_Banco_Magdalena,Caudal medio mensual,2619.89139598217,0.45991918823166206
2018-03-15,El_Banco_Magdalena,Caudal medio mensual,2409.67983709674,-0.46534959157047207
2018-04-15,El_Banco_Magdalena,Caudal medio mensual,4165.71899666662,0.5948456293456253
2018-05-15,El_Banco_Magdalena,Caudal medio mensual,5638.48082822572,0.9424536877304975
2018-06-15,El_Banco_Magdalena,Caudal medio mensual,5724.24927416676,0.965906319208996
2018-07-15,El_Banco_Magdalena,Caudal medio mensual,3709.86123104843,-0.13503660980784363
2018-08-15,El_Banco_Magdalena,Caudal medio mensual,2928.34342379036,-0.2788648059160379
2018-09-15,El_Banco_Magdalena,Caudal medio mensual,3358.5688066666,-0.020531354110738222
2018-10-15,El_Banco_Magdalena,Caudal medio mensual,4865.46352258056,0.7267689472284412
2018-11-15,El_Banco_Magdalena,Caudal medio mensual,6061.01819541668,1.0546672280220017
2018-12-15,El_Banco_Magdalena,Caudal medio mensual,4223.57415604852,-0.1566099125043674
2019-01-15,El_Banco_Magdalena,Caudal medio mensual,2130.57120000003,-0.8499614652960216
2019-02-15,El_Banco_Magdalena,Caudal medio mensual,2251.03253571425,-0.21039885318812407
2019-03-15,El_Banco_Magdalena,Caudal medio mensual,2760.66659717737,-0.04087746661490649
2019-04-15,El_Banco_Magdalena,Caudal medio mensual,3963.88945624994,0.40116522888924927
2019-05-15,El_Banco_Magdalena,Caudal medio mensual,4454.04889516125,-0.1364936070747886
2019-06-15,El_Banco_Magdalena,Caudal medio mensual,5244.78095500005,0.5048172647139997
2019-07-15,El_Banco_Magdalena,Caudal medio mensual,3369.49810322586,-0.4748129651954151
2019-08-15,El_Banco_Magdalena,Caudal medio mensual,2466.15258387099,-0.7442146825815087
2019-09-15,El_Banco_Magdalena,Caudal medio mensual,2419.67918333328,-0.9203835287979379
2019-10-15,El_Banco_Magdalena,Caudal medio mensual,3776.65589354832,-0.36954783976854017
2019-11-15,El_Banco_Magdalena,Caudal medio mensual,4917.60742666668,-0.18975251027587758
2019-12-15,El_Banco_Magdalena,Caudal medio mensual,3859.12177500005,-0.4931827501053887
2020-01-15,El_Banco_Magdalena,Caudal medio mensual,2497.29408508069,-0.4477891884525759
2020-02-15,El_Banco_Magdalena,Caudal medio mensual,1661.3051823276,-1.2820957190481028
2020-03-15,El_Banco_Magdalena,Caudal medio mensual,2035.07890322582,-0.9183799405614161
2020-04-15,El_Banco_Magdalena,Caudal medio mensual,2327.67899749998,-1.1689810253575483
2020-05-15,El_Banco_Magdalena,Caudal medio mensual,2688.70126532256,-1.7446206732518377
2020-06-15,El_Banco_Magdalena,Caudal medio mensual,3478.16618458332,-1.1940785780061578
2020-07-15,El_Banco_Magdalena,Caudal medio mensual,3949.45999879029,0.10414909923030195
2020-08-15,El_Banco_Magdalena,Caudal medio mensual,3696.96413548384,0.4950093657388677
2020-09-15,El_Banco_Magdalena,Caudal medio mensual,4619.89261666666,1.1883487370161765
2020-10-15,El_Banco_Magdalena,Caudal medio mensual,4765.35170967742,0.6259666951722493
2020-11-15,El_Banco_Magdalena,Caudal medio mensual,5405.59576833326,0.3413447480550133
2020-12-15,El_Banco_Magdalena,Caudal medio mensual,5627.56958440868,1.1399839633336788
2022-01-15,El_Banco_Magdalena,Caudal medio mensual,3277.06425591402,0.40735772977061285
2022-02-15,El_Banco_Magdalena,Caudal medio mensual,2712.53442142857,0.6282770563965424
2022-03-15,El_Banco_Magdalena,Caudal medio mensual,3862.71012258058,1.2918986099355636
2022-04-15,El_Banco_Magdalena,Caudal medio mensual,5213.47097499993,1.600293208147052
2022-05-15,El_Banco_Magdalena,Caudal medio mensual,6272.55264354839,1.5200555327640302
2022-06-15,El_Banco_Magdalena,Caudal medio mensual,6314.09547874998,1.5331421883930354
2022-07-15,El_Banco_Magdalena,Caudal medio mensual,6110.66524153228,2.26162851047307
2022-08-15,El_Banco_Magdalena,Caudal medio mensual,5920.91156767243,2.734157297489297
2022-09-15,El_Banco_Magdalena,Caudal medio mensual,5646.85821958331,2.172614840450811
2022-10-15,El_Banco_Magdalena,Caudal medio mensual,6172.54697862899,2.042866939805507
2022-11-15,El_Banco_Magdalena,Caudal medio mensual,6861.14007291668,1.9254719157314442
2022-12-15,El_Banco_Magdalena,Caudal medio mensual,5389.44882258079,0.9200787447985002
2023-01-15,El_Banco_Magdalena,Caudal medio mensual,3891.88753496864,1.0816131091134216
2023-02-15,El_Banco_Magdalena,Caudal medio mensual,2859.71670721726,0.8957477671987751
2023-03-15,El_Banco_Magdalena,Caudal medio mensual,3584.43384148744,0.9553602050874656
2023-04-15,El_Banco_Magdalena,Caudal medio mensual,4029.53634569443,0.4641615366154374
2023-05-15,El_Banco_Magdalena,Caudal medio mensual,3810.80946650984,-0.7224466045255586
2023-06-15,El_Banco_Magdalena,Caudal medio mensual,3945.35888569446,-0.7447945852771226
2023-07-15,El_Banco_Magdalena,Caudal medio mensual,3146.7516044355,-0.697175457920492
2023-08-15,El_Banco_Magdalena,Caudal medio mensual,2541.50912643367,-0.6683430841880895
2023-09-15,El_Banco_Magdalena,Caudal medio mensual,2356.38114675927,-0.9810497396591603
2023-10-15,El_Banco_Magdalena,Caudal medio mensual,2828.53673752238,-1.3242058703597919
2023-11-15,El_Banco_Magdalena,Caudal medio mensual,4262.44729708335,-0.9027895213673405
2023-12-15,El_Banco_Magdalena,Caudal medio mensual,2482.9954468414,-1.764039430567664
2024-01-15,El_Banco_Magdalena,Caudal medio mensual,2075.70511814235,-0.910131195519781
2024-02-15,El_Banco_Magdalena,Caudal medio mensual,1664.26559182769,-1.276715840423364
2024-03-15,El_Banco_Magdalena,Caudal medio mensual,1312.92938385415,-1.7917243964973475
2024-04-15,El_Banco_Magdalena,Caudal medio mensual,1704.10209102178,-1.7673801730378378
2024-05-15,El_Banco_Magdalena,Caudal medio mensual,4080.57105313619,-0.47670978672478476
2024-06-15,El_Banco_Magdalena,Caudal medio mensual,4505.54441032405,-0.206082425228374
2024-07-15,El_Banco_Magdalena,Caudal medio mensual,4740.18174431008,0.8935076720498263
2024-08-15,El_Banco_Magdalena,Caudal medio mensual,3165.94170546597,-0.039642559337197354
2024-09-15,El_Banco_Magdalena,Caudal medio mensual,2383.18967471758,-0.955355865124897
2024-10-15,El_Banco_Magdalena,Caudal medio mensual,3194.02553434139,-0.9561964142098982
2024-11-15,El_Banco_Magdalena,Caudal medio mensual,4123.36701615272,-1.0541561618856023
2024-12-15,El_Banco_Magdalena,Caudal medio mensual,4050.3506472984,-0.3165823284109586
2025-01-15,El_Banco_Magdalena,Caudal medio mensual,3470.95813450721,0.6199944257397738
2025-02-15,El_Banco_Magdalena,Caudal medio mensual,2606.33590943201,0.43528513934858654
2025-03-15,El_Banco_Magdalena,Caudal medio mensual,3705.71349455645,1.1020319258106352
2025-04-15,El_Banco_Magdalena,Caudal medio mensual,4344.81286944443,0.7667083454142335
2025-05-15,El_Banco_Magdalena,Caudal medio mensual,5678.29691317202,0.9787237813874622
2025-06-15,El_Banco_Magdalena,Caudal medio mensual,5539.74008555556,0.7884698465130869
2025-07-15,El_Banco_Magdalena,Caudal medio mensual,4370.88005752692,0.5248426466212289
2025-08-15,El_Banco_Magdalena,Caudal medio mensual,3319.82293870969,0.11529043960234885
2025-09-15,El_Banco_Magdalena,Caudal medio mensual,3208.59279611111,-0.16427161483503458
2025-10-15,El_Banco_Magdalena,Caudal medio mensual,4194.01114032254,0.050685772652536265
2025-11-15,El_Banco_Magdalena,Caudal medio mensual,5406.50198888889,0.34233102418385397
2025-12-15,El_Banco_Magdalena,Caudal medio mensual,4331.49774354843,-0.05694216445885329
2013-01-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,2.656,-1.4827230840432413
2013-02-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,2.766,-0.5810251341650894
2013-03-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,10.42,1.4693817499027828
2013-04-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,9.882,-0.34282888060677513
2013-05-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,14.57,-1.0852173688360016
2013-06-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,27.16,1.3798552115456457
2013-07-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,16.79,0.6738356101167206
2013-08-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,14.5,-0.2762810048353304
2013-09-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,19.28,-0.21806824118784573
2013-10-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,24.36,-0.08100486103411599
2013-11-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,19.95,-0.44026173687602627
2013-12-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,6.746,-1.1714722502317663
2014-01-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,6.61,0.27170345641246546
2014-02-15,Ganaderia_Caribe_Aracataca,Caudal medio mensual,5.794,1.360106805116628
