evento,inicio,fin,area_inundada_km2,duracion_dias
DFO_1818_From_20011026_to_20011115,2001-10-26,2001-11-15,0.0,20
DFO_1996_From_20020720_to_20020731,2002-07-20,2002-07-31,233.94,11
DFO_2588_From_20041120_to_20041127,2004-11-20,2004-11-27,274.82,7
DFO_2625_From_20050211_to_20050226,2005-02-11,2005-02-26,299.2,15
DFO_2753_From_20051019_to_20051025,2005-10-19,2005-10-25,0.0,6
DFO_2761_From_20050915_to_20051216,2005-09-15,2005-12-16,239.4,92
DFO_2823_From_20060322_to_20060602,2006-03-22,2006-06-02,16.51,72
DFO_3080_From_20070519_to_20070627,2007-05-19,2007-06-27,15.76,39
DFO_3212_From_20071001_to_20071210,2007-10-01,2007-12-10,211.47,70
DFO_3311_From_20080527_to_20080528,2008-05-27,2008-05-28,78.76,1
DFO_3421_From_20081213_to_20081214,2008-12-13,2008-12-14,151.89,1
DFO_3452_From_20090212_to_20090216,2009-02-12,2009-02-16,5.25,4
DFO_3750_From_20101115_to_20101220,2010-11-15,2010-12-20,190.06,35
DFO_3754_From_20101125_to_20101220,2010-11-25,2010-12-20,174.95,25
DFO_3876_From_20111109_to_20111222,2011-11-09,2011-12-22,7.74,43
DFO_4495_From_20170804_to_20170821,2017-08-04,2017-08-21,221.25,17
