date,oni,soi
2013-01-15,-0.29,-0.1
2013-02-15,-0.29,-0.4
2013-03-15,-0.21,2.5
2013-04-15,-0.19,0.4
2013-05-15,-0.27,1.3
2013-06-15,-0.34,2
2013-07-15,-0.35,1.3
2013-08-15,-0.28,0.3
2013-09-15,-0.21,0.5
2013-10-15,-0.13,-0.1
2013-11-15,-0.1,1.2
2013-12-15,-0.15,0.1
2014-01-15,-0.28,2.4
2014-02-15,-0.32,0.1
2014-03-15,-0.14,-1.5
2014-04-15,0.15,1.3
2014-05-15,0.31,0.9
2014-06-15,0.23,0.3
2014-07-15,0.1,-0.3
2014-08-15,0.11,-1.2
2014-09-15,0.28,-1.2
2014-10-15,0.54,-1
2014-11-15,0.71,-1.5
2014-12-15,0.77,-0.9
2015-01-15,0.69,-1.4
2015-02-15,0.61,0.4
2015-03-15,0.65,-1.2
2015-04-15,0.81,-0.1
2015-05-15,1.02,-1.2
2015-06-15,1.25,-0.9
2015-07-15,1.57,-1.9
2015-08-15,1.91,-2.4
2015-09-15,2.21,-2.7
2015-10-15,2.47,-2.8
2015-11-15,2.64,-0.8
2015-12-15,2.75,-0.9
2016-01-15,2.63,-3.6
2016-02-15,2.28,-3.2
2016-03-15,1.71,-0.1
2016-04-15,1.05,-2
2016-05-15,0.49,0.7
2016-06-15,0,1.1
2016-07-15,-0.31,0.7
2016-08-15,-0.5,1.2
2016-09-15,-0.58,2
2016-10-15,-0.64,-0.4
2016-11-15,-0.6,-0.2
2016-12-15,-0.45,0.5
2017-01-15,-0.19,0.3
2017-02-15,-0.02,-0.1
2017-03-15,0.18,1.5
2017-04-15,0.31,-0.3
2017-05-15,0.4,0.4
2017-06-15,0.39,-0.7
2017-07-15,0.19,1.3
2017-08-15,-0.07,0.9
2017-09-15,-0.34,1
2017-10-15,-0.6,1.5
2017-11-15,-0.77,1.5
2017-12-15,-0.86,-0.2
2018-01-15,-0.77,1.8
2018-02-15,-0.71,-0.8
2018-03-15,-0.57,2.4
2018-04-15,-0.39,0.8
2018-05-15,-0.13,0.6
2018-06-15,0.06,-0.2
2018-07-15,0.14,0.4
2018-08-15,0.27,-0.5
2018-09-15,0.53,-1.5
2018-10-15,0.81,0.6
2018-11-15,0.97,-0.1
2018-12-15,0.92,1.7
2019-01-15,0.89,-0.1
2019-02-15,0.86,-2.3
2019-03-15,0.84,-0.5
2019-04-15,0.77,0.2
2019-05-15,0.64,-0.7
2019-06-15,0.52,-0.7
2019-07-15,0.33,-0.6
2019-08-15,0.19,-0.2
2019-09-15,0.23,-1.9
2019-10-15,0.39,-0.6
2019-11-15,0.58,-1.4
2019-12-15,0.66,-0.9
2020-01-15,0.64,0.3
2020-02-15,0.63,-0.1
2020-03-15,0.53,-0.2
2020-04-15,0.3,0.3
2020-05-15,0.01,0.7
2020-06-15,-0.23,-0.6
2020-07-15,-0.36,0.7
2020-08-15,-0.53,1.8
2020-09-15,-0.85,1.5
2020-10-15,-1.12,0.8
2020-11-15,-1.2,1.1
2020-12-15,-1.08,3
2021-01-15,-0.91,3.2
2021-02-15,-0.79,2.5
2021-03-15,-0.71,0.6
2021-04-15,-0.55,0.6
2021-05-15,-0.39,0.8
2021-06-15,-0.3,0.7
2021-07-15,-0.35,2.3
2021-08-15,-0.45,1
2021-09-15,-0.63,1.3
2021-10-15,-0.76,1.2
2021-11-15,-0.91,1.6
2021-12-15,-0.87,2.5
2022-01-15,-0.82,0.8
2022-02-15,-0.79,1.8
2022-03-15,-0.86,2.9
2022-04-15,-0.95,2.8
2022-05-15,-0.9,2.4
2022-06-15,-0.78,2.8
2022-07-15,-0.76,1.3
2022-08-15,-0.87,1.7
2022-09-15,-0.97,2.7
2022-10-15,-0.94,2.8
2022-11-15,-0.85,0.5
2022-12-15,-0.71,3.5
2023-01-15,-0.54,2.3
2023-02-15,-0.29,2.3
2023-03-15,-0.02,0.3
2023-04-15,0.27,0.4
2023-05-15,0.57,-1.7
2023-06-15,0.84,0.4
2023-07-15,1.12,-0.4
2023-08-15,1.37,-1.4
2023-09-15,1.6,-2.1
2023-10-15,1.83,-0.8
2023-11-15,1.99,-1.3
2023-12-15,2.06,-0.4
2024-01-15,1.92,0.8
2024-02-15,1.62,-2.3
2024-03-15,1.26,0.6
2024-04-15,0.82,-0.3
2024-05-15,0.49,0.8
2024-06-15,0.22,0.1
2024-07-15,0.08,-1.2
2024-08-15,-0.07,1.5
2024-09-15,-0.17,-0.2
2024-10-15,-0.21,0.8
2024-11-15,-0.3,0.8
2024-12-15,-0.42,1.9
2025-01-15,-0.45,0.3
2025-02-15,-0.24,0.9
2025-03-15,-0.06,2.8
2025-04-15,0.02,0.9
2025-05-15,-0.02,0.7
2025-06-15,-0.04,0.5
2025-07-15,-0.14,1
2025-08-15,-0.28,0.7
2025-09-15,-0.4,0.1
2025-10-15,-0.51,1.9
2025-11-15,-0.55,1.8
2025-12-15,-0.54,-0
