date,estacion,VH_db,month,tipo,year,VH_z
2018-01-01,CP Aguas Negras,-19.300796509342643,1,manglar,2018,-0.6309662834772792
2018-02-01,CP Aguas Negras,-19.383360521164825,2,manglar,2018,-0.6916512404571525
2018-03-01,CP Aguas Negras,-19.55819476952564,3,manglar,2018,-0.8201552775821289
2018-04-01,CP Aguas Negras,-20.484226751128777,4,manglar,2018,-1.5007933634179136
2018-05-01,CP Aguas Negras,-20.404885048328488,5,manglar,2018,-1.4424768195039002
2018-06-01,CP Aguas Negras,-20.48984891711252,6,manglar,2018,-1.5049256832183622
2018-07-01,CP Aguas Negras,-21.275811275678016,7,manglar,2018,-2.082611903457633
2018-08-01,CP Aguas Negras,-20.890809349282673,8,manglar,2018,-1.7996335836687596
2018-09-01,CP Aguas Negras,-20.600525947918406,9,manglar,2018,-1.5862738481740621
2018-10-01,CP Aguas Negras,-20.817966320471136,10,manglar,2018,-1.7460935972733291
2018-11-01,CP Aguas Negras,-20.411477214300763,11,manglar,2018,-1.447322094092704
2018-12-01,CP Aguas Negras,-20.923654187942006,12,manglar,2018,-1.8237747025056836
2019-01-01,CP Aguas Negras,-20.74775385231667,1,manglar,2019,-1.6944870859693355
2019-02-01,CP Aguas Negras,-21.092290537733508,2,manglar,2019,-1.9477232535327393
2019-03-01,CP Aguas Negras,-21.412326234643213,3,manglar,2019,-2.182951073382591
2019-04-01,CP Aguas Negras,-20.75947424219662,4,manglar,2019,-1.7031016304900644
2019-05-01,CP Aguas Negras,-20.027821721265042,5,manglar,2019,-1.1653334094814534
2019-06-01,CP Aguas Negras,-20.34428159823728,6,manglar,2019,-1.3979329839943382
2019-07-01,CP Aguas Negras,-20.16900648388925,7,manglar,2019,-1.2691049081886172
2019-08-01,CP Aguas Negras,-20.400588574914774,8,manglar,2019,-1.4393188902981595
2019-09-01,CP Aguas Negras,-19.830376037050396,9,manglar,2019,-1.0202098551872045
2019-10-01,CP Aguas Negras,-19.8979014361681,10,manglar,2019,-1.0698413574612478
2019-11-01,CP Aguas Negras,-20.238770751147218,11,manglar,2019,-1.3203819896172673
2019-12-01,CP Aguas Negras,-20.07310211769277,12,manglar,2019,-1.1986147247737178
2020-01-01,CP Aguas Negras,-19.454893325282384,1,manglar,2020,-0.7442282052232656
2020-02-01,CP Aguas Negras,-19.094483317706988,2,manglar,2020,-0.47932506737752634
2020-03-01,CP Aguas Negras,-19.47330553969994,3,manglar,2020,-0.7577612738711407
2020-04-01,CP Aguas Negras,-19.690445846440824,4,manglar,2020,-0.9173604731148334
2020-05-01,CP Aguas Negras,-19.33718399753238,5,manglar,2020,-0.6577112672379484
2020-06-01,CP Aguas Negras,-18.21607682461595,6,manglar,2020,0.16630804888717526
2020-07-01,CP Aguas Negras,-18.381952969108692,7,manglar,2020,0.04438826240430867
2020-08-01,CP Aguas Negras,-18.7073150532807,8,manglar,2020,-0.19475447842306304
2020-09-01,CP Aguas Negras,-18.494265645481093,9,manglar,2020,-0.038162110131276517
2020-10-01,CP Aguas Negras,-18.438786878488155,10,manglar,2020,0.002615057958783627
2020-11-01,CP Aguas Negras,-18.50164847732588,11,manglar,2020,-0.04358852804632925
2020-12-01,CP Aguas Negras,-18.6950177248195,12,manglar,2020,-0.1857158811920758
2021-01-01,CP Aguas Negras,-18.7363798686345,1,manglar,2021,-0.21611726143767887
2021-02-01,CP Aguas Negras,-18.96622484485199,2,manglar,2021,-0.38505445557304135
2021-03-01,CP Aguas Negras,-19.192274588748063,3,manglar,2021,-0.5512021351842094
2021-04-01,CP Aguas Negras,-18.688472746374046,4,manglar,2021,-0.18090528966883437
