estacion,lag_meses,rho,p_value,n
CP_Aguas_Negras,0,0.807,0.0,85
CP_Aguas_Negras,1,0.788,0.0,84
CP_Aguas_Negras,2,0.773,0.0,83
CP_Aguas_Negras,3,0.758,0.0,82
CP_Luna,0,0.731,0.0,83
CP_Luna,1,0.71,0.0,82
CP_Luna,2,0.717,0.0,81
CP_Luna,3,0.722,0.0,80
Cano_Clarin,0,0.64,0.0,63
Cano_Clarin,1,0.38,0.002,62
Cano_Clarin,2,-0.025,0.847,61
Cano_Clarin,3,-0.127,0.333,60
Cano_Palos,0,0.462,0.0,64
Cano_Palos,1,0.406,0.001,63
Cano_Palos,2,0.379,0.002,62
Cano_Palos,3,0.434,0.0,61
Isla_Boqueron,0,0.166,0.171,70
Isla_Boqueron,1,0.192,0.113,69
Isla_Boqueron,2,0.205,0.093,68
Isla_Boqueron,3,0.226,0.066,67
Punta_Cerro,0,0.008,0.948,70
Punta_Cerro,1,0.086,0.481,69
Punta_Cerro,2,0.043,0.729,68
Punta_Cerro,3,0.053,0.67,67
Punta_Chino,0,0.134,0.269,70
Punta_Chino,1,0.168,0.167,69
Punta_Chino,2,0.178,0.146,68
Punta_Chino,3,0.203,0.1,67
Rio_Sevilla,0,-0.159,0.186,71
Rio_Sevilla,1,-0.102,0.399,70
Rio_Sevilla,2,-0.077,0.531,69
Rio_Sevilla,3,-0.058,0.637,68
